rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
76,6144,16,48,128,12,16384,bf16,fp8,16,6.74,6.74,dense,0,0,0,1,2.0888,28044,2.9,1.0,medium
77,6144,14,48,128,24,16384,bf16,bf16,8,6.21,6.21,dense,0,0,0,1,2.0930,16259,3.1,1.8,high
78,6144,15,48,128,24,16384,bf16,fp8,16,6.62,6.62,dense,0,0,0,1,2.0931,29062,2.8,1.1,medium
79,6144,15,96,64,12,16384,bf16,bf16,16,6.2,6.2,dense,0,0,0,1,2.0957,15616,3.2,1.7,medium
80,6144,14,48,128,48,16384,bf16,fp8,16,6.74,6.74,dense,0,0,0,1,2.0963,28143,2.8,1.2,medium
81,6144,13,48,128,48,16384,bf16,bf16,8,6.28,6.28,dense,0,0,0,1,2.0974,15468,3.0,1.8,high
82,6144,14,24,256,12,16384,bf16,bf16,16,6.21,6.21,dense,0,0,0,1,2.0975,16458,3.1,1.8,high
83,6144,15,48,128,12,16384,bf16,fp8,16,6.34,6.34,dense,0,0,0,1,2.0979,29900,2.7,0.9,medium
84,6144,14,48,128,24,16384,bf16,fp8,16,6.21,6.21,dense,0,0,0,1,2.1032,31123,2.6,1.0,medium
85,4608,30,72,64,1,12288,bf16,fp8,16,6.68,6.68,dense,0,0,0,1,2.1048,22894,4.9,0.9,medium
86,6144,15,96,64,12,16384,bf16,bf16,8,6.2,6.2,dense,0,0,0,1,2.1059,15616,3.2,1.7,medium
87,6144,16,96,64,12,16384,bf16,fp8,16,6.58,6.58,dense,0,0,0,1,2.1069,28114,2.9,0.9,low
88,4608,29,72,64,1,12288,bf16,fp8,16,6.47,6.47,dense,0,0,0,1,2.1074,23680,4.7,0.8,medium
89,6144,13,48,128,48,16384,bf16,fp8,16,6.28,6.28,dense,0,0,0,1,2.1076,30293,2.6,1.2,medium
90,6144,15,48,128,12,16384,bf16,fp8,8,6.34,6.34,dense,0,0,0,1,2.1080,29900,2.7,0.9,medium
91,6144,14,48,128,24,16384,bf16,fp8,8,6.21,6.21,dense,0,0,0,1,2.1133,31123,2.6,0.9,medium
