rank,selected,objective_profile,objective_score,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,activation_prec,kv_bits,active_params_B,total_params_B,architecture_family,attention_type,mla_kv_latent,mla_q_latent,nsa_select_top_k,nsa_window,csa_block,csa_top_k,csa_dim,indexshare_buckets,indexshare_top_k,indexshare_dim,msa_window,msa_dilated_top_k,msa_global_top_k,yoco_self_attn_layers,yoco_share_pattern,cp,cp_method,rope_method,rope_factor,mtp_depth,tp,pp,dp,state_layers,attention_layers,placement_strategy,local_attn_layers,local_window,moe_style,n_experts,top_k,expert_dim,ep,vocab_size,predicted_loss,loss_ci_low,loss_ci_high,uncertainty_total_pct,training_tps,training_tps_per_gpu,serving_tbt_ms,serving_ttft_ms,training_memory_gb,memory_gb,confidence
1191,False,serving_cost,20.19428186,10240,22,160,64,160,27648,bf16,fp8,bf16,16,29.255721,29.255721,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,22,none,0,0,dense,0,0,0,1,65536,2.1237,1.9458,2.3017,8.38,45337,5667,291.2,4458.8,7.6,531.5,medium
1192,False,serving_cost,20.32557279,8192,47,32,192,32,21888,bf16,fp8,bf16,16,32.508199,32.508199,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,47,none,0,0,dense,0,0,0,1,256000,1.9176,1.7626,2.0725,8.08,7236,7236,225.0,37188.7,65.5,943.3,medium
1193,False,serving_cost,20.33124357,14848,9,232,64,29,39552,bf16,bf16,bf16,16,27.92306,27.92306,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,9,none,0,0,dense,0,0,0,1,256000,2.6582,2.3125,3.0040,13.01,7587,7587,233.6,24165.4,64.7,1125.0,medium
1194,False,serving_cost,20.33644761,7168,56,56,192,56,19072,bf16,bf16,bf16,8,31.698731,31.698731,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,56,none,0,0,dense,0,0,0,1,256000,1.9102,1.7558,2.0646,8.08,3900,3900,175.3,74453.5,69.1,828.1,medium
1195,False,serving_cost,20.38034608,10240,22,80,128,80,27648,bf16,bf16,bf16,16,29.255721,29.255721,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,22,none,0,0,dense,0,0,0,1,65536,2.1063,1.9318,2.2809,8.29,36960,4620,295.1,3743.6,8.2,533.7,medium
1196,False,serving_cost,20.40101857,7680,41,120,192,120,20480,fp8,fp8,bf16,4,30.876442,30.876442,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,41,none,0,0,dense,0,0,0,1,256000,1.9885,1.8198,2.1571,8.48,4694,4694,138.1,104381.1,60.1,699.1,medium
1197,False,serving_cost,20.47631714,11264,21,88,128,11,30080,bf16,bf16,bf16,8,28.81757,28.81757,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,21,none,0,0,dense,0,0,0,1,65536,2.1441,1.9633,2.3249,8.43,5705,5705,232.8,30305.3,65.5,1039.9,low
1198,False,serving_cost,20.55174721,10240,25,40,256,5,27264,bf16,fp8,bf16,8,29.464187,29.464187,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,25,none,0,0,dense,0,0,0,1,128256,2.0500,1.8804,2.2196,8.27,8032,8032,230.2,34142.6,61.3,1005.4,medium
1199,False,serving_cost,20.57913040,10240,21,80,128,40,27136,fp8,fp8,bf16,16,29.355315,29.355315,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,4,1,8,0,21,none,0,0,dense,0,0,0,1,256000,2.1196,1.9397,2.2994,8.49,37639,9410,292.1,5884.6,14.6,598.5,low
1200,False,serving_cost,20.71694905,7168,57,56,192,56,19072,bf16,bf16,bf16,8,32.199244,32.199244,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,57,none,0,0,dense,0,0,0,1,256000,1.9097,1.7554,2.0640,8.08,3831,3831,178.8,75862.8,70.1,835.0,medium
1201,False,serving_cost,20.77432612,8192,48,32,192,32,21888,bf16,fp8,bf16,16,33.110622,33.110622,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,48,none,0,0,dense,0,0,0,1,256000,1.9159,1.7611,2.0708,8.08,7086,7086,230.3,38020.1,66.6,953.0,medium
1202,False,serving_cost,20.78891480,7680,41,120,192,120,20480,fp8,fp8,bf16,8,30.876442,30.876442,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,41,none,0,0,dense,0,0,0,1,256000,1.9677,1.8052,2.1302,8.26,4694,4694,140.4,105427.0,60.1,745.2,medium
1203,False,serving_cost,20.83663756,6144,62,96,192,96,16384,bf16,fp8,bf16,16,29.890683,679.24444,moe,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,62,none,0,0,fine,384,8,1536,8,256000,1.8925,1.7392,2.0458,8.10,12882,1610,216.7,16819.4,139.8,363.1,medium
1204,False,serving_cost,20.91486174,6144,75,48,192,48,16384,fp8,fp8,bf16,8,31.133798,31.133798,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,75,none,0,0,dense,0,0,0,1,256000,1.9779,1.8145,2.1414,8.26,5520,5520,178.2,79355.5,60.2,805.4,medium
1205,False,serving_cost,20.92013535,7680,42,120,192,120,20480,fp8,fp8,bf16,4,31.533619,31.533619,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,42,none,0,0,dense,0,0,0,1,256000,1.9860,1.8175,2.1544,8.48,4582,4582,141.8,107078.7,61.2,705.5,medium
1206,False,serving_cost,20.99378558,9216,34,72,192,72,24576,bf16,bf16,bf16,16,30.059237,30.059237,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,34,none,0,0,dense,0,0,0,1,128256,1.9577,1.7991,2.1162,8.10,4227,4227,201.7,60799.4,67.0,916.8,medium
1207,False,serving_cost,21.03852364,10240,26,80,128,5,27264,bf16,fp8,bf16,16,30.1969,30.1969,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,26,none,0,0,dense,0,0,0,1,128256,2.0567,1.8865,2.2268,8.27,8251,8251,243.0,29998.4,62.5,1023.9,medium
