rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
265,10752,4,168,64,168,28672,bf16,bf16,8,4.39,33.06,fine,128,4,1792,1,2.2019,32160,1.5,8.4,medium
266,10752,4,168,64,168,28672,bf16,bf16,8,4.39,33.06,fine,128,4,1792,2,2.2019,29851,1.5,5.0,medium
267,10752,4,168,64,168,28672,bf16,bf16,8,4.39,33.06,fine,128,4,1792,4,2.2019,28814,1.5,3.3,medium
268,10752,4,168,64,168,28672,bf16,bf16,8,4.39,33.06,fine,128,4,1792,8,2.2019,28023,1.5,2.4,medium
269,7680,7,120,64,15,20480,bf16,bf16,8,4.72,4.72,dense,0,0,0,1,2.2083,27633,1.8,1.4,medium
270,7680,7,120,64,60,20480,bf16,fp8,16,5.03,5.03,dense,0,0,0,1,2.2103,43884,1.7,1.1,medium
271,9216,6,72,128,72,24576,bf16,fp8,4,4.67,36.26,fine,128,4,1536,1,2.2107,47687,1.4,4.6,low
272,9216,6,72,128,72,24576,bf16,fp8,4,4.67,36.26,fine,128,4,1536,2,2.2107,43521,1.4,2.7,low
273,9216,6,72,128,72,24576,bf16,fp8,4,4.67,36.26,fine,128,4,1536,4,2.2107,42099,1.4,1.8,low
274,9216,6,72,128,72,24576,bf16,fp8,4,4.67,36.26,fine,128,4,1536,8,2.2107,41010,1.4,1.3,low
275,10752,4,168,64,168,28672,bf16,fp8,16,4.39,33.06,fine,128,4,1792,1,2.2121,53212,1.4,4.7,medium
276,10752,4,168,64,168,28672,bf16,fp8,16,4.39,33.06,fine,128,4,1792,2,2.2121,50031,1.4,3.0,medium
277,10752,4,168,64,168,28672,bf16,fp8,16,4.39,33.06,fine,128,4,1792,4,2.2121,48566,1.4,2.1,medium
278,10752,4,168,64,168,28672,bf16,fp8,16,4.39,33.06,fine,128,4,1792,8,2.2121,47438,1.4,1.7,medium
279,7680,7,120,64,30,20480,bf16,fp8,16,4.83,4.83,dense,0,0,0,1,2.2149,45044,1.5,0.9,medium
280,7680,7,120,64,15,20480,bf16,fp8,16,4.72,4.72,dense,0,0,0,1,2.2184,45648,1.4,0.8,low
281,10752,4,168,64,168,28672,bf16,fp8,8,4.39,33.06,fine,128,4,1792,1,2.2223,53212,1.2,4.4,medium
282,10752,4,168,64,168,28672,bf16,fp8,8,4.39,33.06,fine,128,4,1792,2,2.2223,50031,1.2,2.7,medium
283,10752,4,168,64,168,28672,bf16,fp8,8,4.39,33.06,fine,128,4,1792,4,2.2223,48566,1.2,1.8,medium
284,10752,4,168,64,168,28672,bf16,fp8,8,4.39,33.06,fine,128,4,1792,8,2.2223,47438,1.2,1.4,medium
285,7680,6,120,64,60,20480,bf16,bf16,16,4.38,4.38,dense,0,0,0,1,2.2251,30293,1.8,1.7,high
286,7680,8,120,64,1,20480,bf16,fp8,16,5.22,5.22,dense,0,0,0,1,2.2271,40112,1.6,0.8,low
287,7680,7,120,64,15,20480,bf16,fp8,8,4.72,4.72,dense,0,0,0,1,2.2286,45648,1.4,0.7,low
288,4608,21,72,64,1,12288,bf16,fp8,4,4.77,4.77,dense,0,0,0,1,2.2317,32649,3.4,0.6,low
289,7680,6,120,64,60,20480,bf16,bf16,8,4.38,4.38,dense,0,0,0,1,2.2353,30293,1.7,1.5,high
290,7680,7,120,64,1,20480,bf16,bf16,16,4.63,4.63,dense,0,0,0,1,2.2357,27677,1.8,1.4,medium
291,7680,6,120,64,120,20480,bf16,fp8,16,4.74,4.74,dense,0,0,0,1,2.2386,45973,1.8,1.4,medium
292,9216,6,72,128,9,24576,bf16,fp8,16,5.81,5.81,dense,0,0,0,1,2.2387,39489,1.4,1.0,medium
293,3072,50,48,64,1,8192,bf16,fp8,4,4.94,4.94,dense,0,0,0,1,2.2406,25868,7.7,0.6,low
294,7680,6,120,64,60,20480,bf16,fp8,16,4.38,4.38,dense,0,0,0,1,2.2454,51090,1.5,1.0,medium
295,9216,6,72,128,9,24576,bf16,fp8,8,5.81,5.81,dense,0,0,0,1,2.2488,39489,1.4,0.9,medium
296,7680,6,120,64,60,20480,bf16,fp8,8,4.38,4.38,dense,0,0,0,1,2.2556,51090,1.3,0.8,medium
297,7680,7,120,64,1,20480,bf16,fp8,16,4.63,4.63,dense,0,0,0,1,2.2560,45767,1.4,0.7,low
298,6144,10,48,128,12,16384,bf16,fp8,4,4.36,4.36,dense,0,0,0,1,2.2585,44695,1.8,0.7,low
299,7680,7,120,64,1,20480,bf16,fp8,8,4.63,4.63,dense,0,0,0,1,2.2662,45767,1.4,0.7,low
300,9216,5,72,128,18,24576,bf16,fp8,16,5.05,5.05,dense,0,0,0,1,2.2806,46678,1.2,0.9,medium
301,9216,5,72,128,9,24576,bf16,fp8,16,4.94,4.94,dense,0,0,0,1,2.2840,47256,1.2,0.8,medium
302,10752,5,168,64,42,28672,bf16,fp8,4,4.45,40.28,fine,128,4,1792,1,2.2900,52865,1.1,4.9,low
303,10752,5,168,64,42,28672,bf16,fp8,4,4.45,40.28,fine,128,4,1792,2,2.2900,48996,1.1,2.8,low
304,10752,5,168,64,42,28672,bf16,fp8,4,4.45,40.28,fine,128,4,1792,4,2.2900,47251,1.1,1.7,low
305,10752,5,168,64,42,28672,bf16,fp8,4,4.45,40.28,fine,128,4,1792,8,2.2900,45923,1.1,1.2,low
306,9216,5,72,128,9,24576,bf16,fp8,8,4.94,4.94,dense,0,0,0,1,2.2941,47256,1.1,0.8,medium
307,6144,11,96,64,1,16384,bf16,fp8,4,4.55,4.55,dense,0,0,0,1,2.2973,40866,2.0,0.7,low
308,9216,5,144,64,9,24576,bf16,fp8,16,4.89,4.89,dense,0,0,0,1,2.3031,47777,1.1,0.8,low
