rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
63,2304,15,18,128,18,6144,bf16,fp8,8,1.1,1.1,dense,0,0,0,1,2.3669,26965,2.9,1.2,high
64,2432,11,19,128,19,6464,bf16,bf16,16,0.93,0.93,dense,0,0,0,1,2.3673,17572,2.8,2.0,high
65,2560,11,20,128,20,6848,bf16,bf16,8,1.03,1.03,dense,0,0,0,1,2.3674,19116,2.9,2.1,high
66,2048,22,16,128,4,5440,bf16,fp8,16,1.1,1.1,dense,0,0,0,1,2.3675,25023,3.9,1.1,high
67,1920,20,15,128,15,5120,bf16,fp8,16,1.01,1.01,dense,0,0,0,1,2.3680,27411,3.7,1.3,high
68,2176,15,17,128,17,5824,bf16,fp8,16,0.99,0.99,dense,0,0,0,1,2.3688,28999,2.9,1.2,high
69,2304,15,18,128,9,6144,bf16,fp8,16,1.02,1.02,dense,0,0,0,1,2.3688,28252,2.9,1.1,high
70,2048,17,16,128,16,5440,bf16,fp8,16,0.98,0.98,dense,0,0,0,1,2.3689,29071,3.2,1.2,high
71,2560,11,20,128,10,6848,bf16,bf16,16,0.96,0.96,dense,0,0,0,1,2.3690,19441,2.8,2.0,high
72,2688,11,21,128,21,7168,bf16,fp8,16,1.13,1.13,dense,0,0,0,1,2.3693,29213,2.4,1.3,high
73,2048,19,16,128,8,5440,bf16,fp8,16,1.01,1.01,dense,0,0,0,1,2.3703,27889,3.4,1.1,high
74,2048,17,16,128,8,5440,bf16,bf16,8,0.91,0.91,dense,0,0,0,1,2.3716,16247,3.6,1.8,high
75,2304,16,18,128,9,6144,bf16,fp8,8,1.08,1.08,dense,0,0,0,1,2.3719,26519,3.0,1.1,high
76,2048,21,16,128,4,5440,bf16,fp8,16,1.05,1.05,dense,0,0,0,1,2.3720,26196,3.7,1.1,high
77,2560,10,20,128,20,6848,bf16,bf16,16,0.95,0.95,dense,0,0,0,1,2.3726,20996,2.7,2.1,high
78,2816,11,22,128,11,7488,bf16,fp8,16,1.14,1.14,dense,0,0,0,1,2.3731,28396,2.3,1.2,high
79,2048,15,16,128,16,5440,bf16,bf16,8,0.88,0.88,dense,0,0,0,1,2.3733,17074,3.3,1.8,high
80,1920,19,15,128,15,5120,bf16,fp8,16,0.96,0.96,dense,0,0,0,1,2.3734,28830,3.5,1.2,high
81,2816,9,22,128,22,7488,bf16,bf16,16,1.04,1.04,dense,0,0,0,1,2.3740,19700,2.6,2.2,high
82,2560,13,20,128,5,6848,bf16,fp8,16,1.06,1.06,dense,0,0,0,1,2.3749,29453,2.5,1.1,high
83,2304,13,18,128,18,6144,bf16,fp8,16,0.98,0.98,dense,0,0,0,1,2.3759,31024,2.6,1.2,high
84,2560,12,20,128,20,6848,bf16,fp8,8,1.11,1.11,dense,0,0,0,1,2.3763,29145,2.5,1.2,high
85,2432,12,19,128,19,6464,bf16,fp8,16,1.01,1.01,dense,0,0,0,1,2.3763,30653,2.5,1.2,high
86,2048,18,16,128,8,5440,bf16,fp8,16,0.96,0.96,dense,0,0,0,1,2.3765,29410,3.3,1.1,high
87,2048,16,16,128,16,5440,bf16,fp8,16,0.93,0.93,dense,0,0,0,1,2.3765,30853,3.0,1.2,high
88,2304,14,18,128,18,6144,bf16,fp8,8,1.04,1.04,dense,0,0,0,1,2.3766,28852,2.7,1.1,high
89,2304,12,18,128,18,6144,bf16,bf16,8,0.91,0.91,dense,0,0,0,1,2.3767,17735,2.9,1.9,high
90,2048,20,16,128,4,5440,bf16,fp8,16,1.01,1.01,dense,0,0,0,1,2.3771,27483,3.5,1.1,high
91,2048,18,16,128,4,5440,bf16,bf16,8,0.92,0.92,dense,0,0,0,1,2.3771,15968,3.7,1.8,high
92,2816,10,22,128,22,7488,bf16,fp8,16,1.13,1.13,dense,0,0,0,1,2.3774,29607,2.3,1.3,high
93,2176,13,17,128,17,5824,bf16,bf16,8,0.88,0.88,dense,0,0,0,1,2.3776,17070,3.0,1.8,high
94,2560,12,20,128,10,6848,bf16,fp8,16,1.03,1.03,dense,0,0,0,1,2.3778,30635,2.4,1.1,high
95,2304,13,18,128,9,6144,bf16,bf16,8,0.91,0.91,dense,0,0,0,1,2.3780,16614,3.0,1.8,high
96,2176,14,17,128,17,5824,bf16,fp8,16,0.94,0.94,dense,0,0,0,1,2.3784,31028,2.7,1.1,high
97,2304,14,18,128,9,6144,bf16,fp8,16,0.97,0.97,dense,0,0,0,1,2.3786,30228,2.7,1.1,high
98,2560,11,20,128,5,6848,bf16,bf16,16,0.92,0.92,dense,0,0,0,1,2.3791,20392,2.7,1.9,high
99,2560,11,20,128,20,6848,bf16,fp8,16,1.03,1.03,dense,0,0,0,1,2.3791,31730,2.4,1.2,high
100,1920,18,15,128,15,5120,bf16,fp8,16,0.92,0.92,dense,0,0,0,1,2.3794,30403,3.3,1.2,high
101,2112,14,33,64,33,5632,bf16,bf16,16,0.88,0.88,dense,0,0,0,1,2.3803,17292,3.2,2.0,high
102,2304,15,18,128,9,6144,bf16,fp8,8,1.02,1.02,dense,0,0,0,1,2.3805,28252,2.8,1.1,high
103,2688,11,21,128,21,7168,bf16,fp8,8,1.13,1.13,dense,0,0,0,1,2.3810,29213,2.3,1.2,high
104,2048,18,16,128,2,5440,bf16,bf16,16,0.9,0.9,dense,0,0,0,1,2.3814,16295,3.7,1.8,high
105,2048,19,16,128,8,5440,bf16,fp8,8,1.01,1.01,dense,0,0,0,1,2.3820,27889,3.4,1.0,high
106,2048,19,16,128,4,5440,bf16,fp8,16,0.97,0.97,dense,0,0,0,1,2.3827,28904,3.4,1.0,high
107,2688,9,21,128,21,7168,bf16,bf16,16,0.95,0.95,dense,0,0,0,1,2.3828,21383,2.5,2.1,high
108,2048,17,16,128,8,5440,bf16,fp8,16,0.91,0.91,dense,0,0,0,1,2.3834,31107,3.1,1.0,high
109,2432,10,19,128,19,6464,bf16,bf16,16,0.86,0.86,dense,0,0,0,1,2.3843,19304,2.6,1.9,high
110,2560,10,20,128,20,6848,bf16,bf16,8,0.95,0.95,dense,0,0,0,1,2.3844,20996,2.6,2.0,high
111,2816,11,22,128,11,7488,bf16,fp8,8,1.14,1.14,dense,0,0,0,1,2.3848,28396,2.3,1.2,high
112,2048,15,16,128,16,5440,bf16,fp8,16,0.88,0.88,dense,0,0,0,1,2.3851,32868,2.9,1.1,high
113,2176,14,34,64,17,5824,bf16,bf16,16,0.87,0.87,dense,0,0,0,1,2.3861,17057,3.1,1.8,high
114,2560,10,20,128,10,6848,bf16,bf16,16,0.89,0.89,dense,0,0,0,1,2.3862,21353,2.5,1.8,high
115,2688,10,21,128,21,7168,bf16,fp8,16,1.04,1.04,dense,0,0,0,1,2.3863,32058,2.2,1.2,high
116,2560,13,20,128,5,6848,bf16,fp8,8,1.06,1.06,dense,0,0,0,1,2.3866,29453,2.5,1.1,high
117,2816,9,22,128,11,7488,bf16,bf16,16,0.96,0.96,dense,0,0,0,1,2.3871,20042,2.5,2.0,high
118,2304,13,18,128,18,6144,bf16,fp8,8,0.98,0.98,dense,0,0,0,1,2.3876,31024,2.5,1.1,high
119,2560,12,20,128,5,6848,bf16,fp8,16,0.99,0.99,dense,0,0,0,1,2.3878,31847,2.3,1.0,high
120,2048,18,16,128,8,5440,bf16,fp8,8,0.96,0.96,dense,0,0,0,1,2.3882,29410,3.2,1.0,high
121,2048,16,16,128,16,5440,bf16,fp8,8,0.93,0.93,dense,0,0,0,1,2.3883,30853,3.0,1.0,high
122,2304,12,18,128,18,6144,bf16,fp8,16,0.91,0.91,dense,0,0,0,1,2.3885,33548,2.4,1.1,high
123,2944,9,23,128,23,7872,bf16,fp8,16,1.13,1.13,dense,0,0,0,1,2.3887,30250,2.1,1.3,medium
124,2048,18,16,128,4,5440,bf16,fp8,16,0.92,0.92,dense,0,0,0,1,2.3889,30479,3.2,1.0,high
125,2816,10,22,128,22,7488,bf16,fp8,8,1.13,1.13,dense,0,0,0,1,2.3891,29607,2.2,1.2,high
126,2176,13,17,128,17,5824,bf16,fp8,16,0.88,0.88,dense,0,0,0,1,2.3895,33362,2.5,1.1,high
